b'id',b'key',b'value',b'type'
231315387,b'highway',b'traffic_signals',b'regular'
231315387,b'traffic_signals',b'signal',b'regular'
231315387,b'direction',b'both',b'traffic_signals'
231315736,b'highway',b'turning_circle',b'regular'
231315792,b'highway',b'turning_circle',b'regular'
231315792,b'source',b'Bing',b'regular'
231315942,b'highway',b'turning_circle',b'regular'
231315990,b'highway',b'turning_circle',b'regular'
231316282,b'highway',b'turning_circle',b'regular'
231316282,b'source',b'Bing',b'regular'
231316410,b'highway',b'turning_circle',b'regular'
231317217,b'highway',b'stop',b'regular'
231317217,b'stop',b'all',b'regular'
231318204,b'highway',b'turning_circle',b'regular'
231319306,b'highway',b'turning_loop',b'regular'
231319561,b'noexit',b'yes',b'regular'
231319605,b'highway',b'turning_circle',b'regular'
231319907,b'highway',b'turning_circle',b'regular'
231320186,b'highway',b'traffic_signals',b'regular'
231320186,b'traffic_signals',b'signal',b'regular'
231320240,b'highway',b'traffic_signals',b'regular'
231320240,b'traffic_signals',b'signal',b'regular'
231320337,b'highway',b'turning_circle',b'regular'
231320406,b'highway',b'turning_circle',b'regular'
231321255,b'direction',b'both',b'regular'
231321255,b'highway',b'stop',b'regular'
231321270,b'highway',b'traffic_signals',b'regular'
231321329,b'highway',b'traffic_signals',b'regular'
231321801,b'highway',b'traffic_signals',b'regular'
231322552,b'highway',b'traffic_signals',b'regular'
231322612,b'highway',b'traffic_signals',b'regular'
231323585,b'highway',b'turning_circle',b'regular'
231323689,b'highway',b'turning_circle',b'regular'
231324274,b'highway',b'turning_circle',b'regular'
231326309,b'highway',b'turning_circle',b'regular'
231326407,b'highway',b'turning_circle',b'regular'
231326407,b'source',b'Bing',b'regular'
231328239,b'highway',b'turning_circle',b'regular'
231328540,b'highway',b'turning_circle',b'regular'
231328628,b'highway',b'turning_circle',b'regular'
231328639,b'highway',b'turning_circle',b'regular'
231328992,b'highway',b'turning_circle',b'regular'
231329129,b'highway',b'turning_circle',b'regular'
231329684,b'highway',b'turning_circle',b'regular'
231330078,b'highway',b'turning_circle',b'regular'
231330616,b'highway',b'turning_circle',b'regular'
231330624,b'highway',b'turning_circle',b'regular'
231330793,b'highway',b'turning_circle',b'regular'
231330884,b'highway',b'turning_circle',b'regular'
231331642,b'highway',b'traffic_signals',b'regular'
231331642,b'traffic_signals',b'signal',b'regular'
231333084,b'highway',b'turning_circle',b'regular'
231333458,b'highway',b'traffic_signals',b'regular'
231333547,b'highway',b'turning_circle',b'regular'
231333913,b'highway',b'turning_circle',b'regular'
231334308,b'highway',b'turning_circle',b'regular'
231334556,b'highway',b'traffic_signals',b'regular'
231334662,b'highway',b'turning_circle',b'regular'
231335161,b'highway',b'turning_circle',b'regular'
231335176,b'highway',b'turning_circle',b'regular'
231335754,b'highway',b'turning_circle',b'regular'
231335836,b'highway',b'traffic_signals',b'regular'
231335984,b'highway',b'stop',b'regular'
231335984,b'stop',b'all',b'regular'
231336244,b'highway',b'turning_circle',b'regular'
231336254,b'highway',b'turning_circle',b'regular'
231336319,b'highway',b'turning_circle',b'regular'
231336389,b'highway',b'turning_circle',b'regular'
231336442,b'highway',b'turning_circle',b'regular'
231336607,b'highway',b'turning_circle',b'regular'
231336607,b'source',b'Bing',b'regular'
231337213,b'highway',b'turning_circle',b'regular'
231337930,b'highway',b'turning_circle',b'regular'
231337972,b'noexit',b'yes',b'regular'
231338150,b'railway',b'level_crossing',b'regular'
231339273,b'highway',b'turning_circle',b'regular'
231339510,b'highway',b'turning_circle',b'regular'
231339671,b'highway',b'turning_circle',b'regular'
231339739,b'highway',b'turning_circle',b'regular'
231339969,b'highway',b'turning_circle',b'regular'
231340364,b'highway',b'turning_circle',b'regular'
231340600,b'highway',b'turning_circle',b'regular'
231341360,b'highway',b'turning_circle',b'regular'
231341398,b'highway',b'turning_circle',b'regular'
231342277,b'highway',b'turning_circle',b'regular'
231342288,b'highway',b'turning_circle',b'regular'
231342792,b'highway',b'turning_circle',b'regular'
231342965,b'highway',b'turning_circle',b'regular'
231343634,b'highway',b'turning_circle',b'regular'
231343711,b'highway',b'turning_circle',b'regular'
231343800,b'highway',b'turning_circle',b'regular'
231343812,b'highway',b'turning_circle',b'regular'
231344477,b'highway',b'turning_circle',b'regular'
231344477,b'source',b'Bing',b'regular'
231344487,b'highway',b'turning_circle',b'regular'
231344487,b'source',b'Bing',b'regular'
231345128,b'highway',b'turning_circle',b'regular'
231345137,b'highway',b'turning_circle',b'regular'
231345151,b'highway',b'turning_circle',b'regular'
231345580,b'highway',b'turning_circle',b'regular'
231345684,b'highway',b'turning_circle',b'regular'
231345721,b'highway',b'turning_circle',b'regular'
231345728,b'highway',b'turning_circle',b'regular'
231345758,b'highway',b'turning_circle',b'regular'
231345767,b'highway',b'turning_circle',b'regular'
231345977,b'highway',b'turning_circle',b'regular'
231346452,b'highway',b'turning_circle',b'regular'
231346697,b'highway',b'turning_circle',b'regular'
231346712,b'highway',b'turning_circle',b'regular'
232149197,b'power',b'tower',b'regular'
232149203,b'power',b'tower',b'regular'
232149230,b'power',b'tower',b'regular'
232149245,b'power',b'tower',b'regular'
232149250,b'power',b'tower',b'regular'
232149774,b'highway',b'turning_circle',b'regular'
232152273,b'highway',b'motorway_junction',b'regular'
232152273,b'ref',b'333',b'regular'
232174626,b'highway',b'traffic_signals',b'regular'
232179254,b'highway',b'traffic_signals',b'regular'
232179254,b'traffic_signals',b'signal',b'regular'
232182738,b'highway',b'turning_circle',b'regular'
232197971,b'highway',b'turning_circle',b'regular'
232223202,b'highway',b'turning_circle',b'regular'
232231661,b'highway',b'turning_circle',b'regular'
232241771,b'highway',b'turning_circle',b'regular'
232250282,b'highway',b'turning_circle',b'regular'
232271920,b'highway',b'turning_circle',b'regular'
232288129,b'highway',b'turning_circle',b'regular'
232293053,b'highway',b'turning_circle',b'regular'
232293846,b'highway',b'turning_circle',b'regular'
232297664,b'railway',b'level_crossing',b'regular'
